,type,Bathrooms,rooms_available,Electricity,Internet,cluster
474,3,0.125,0.4615384615384616,1,1,1
475,3,0.125,0.3076923076923077,1,1,1
476,3,0.125,0.38461538461538464,1,1,1
477,3,0.25,0.3076923076923077,1,1,1
478,3,0.125,0.3076923076923077,1,1,1
479,3,0.125,0.38461538461538464,1,1,1
480,1,0.0,0.0,1,1,3
481,1,0.0,0.0,1,1,3
482,1,0.0,0.0,1,1,3
483,2,0.125,0.07692307692307693,1,1,3
484,2,0.125,0.23076923076923078,1,1,3
485,2,0.0,0.07692307692307693,1,1,3
487,2,0.0,0.07692307692307693,1,1,3
488,2,0.0,0.0,0,1,2
489,2,0.0,0.07692307692307693,0,1,2
491,3,0.25,0.23076923076923078,1,1,1
492,2,0.0,0.07692307692307693,0,0,2
493,2,0.0,0.07692307692307693,0,0,2
494,3,0.0,0.3076923076923077,1,1,1
495,3,0.125,0.3076923076923077,0,0,0
496,3,0.25,0.6923076923076923,1,1,1
497,3,0.125,0.3076923076923077,0,0,0
498,3,0.25,0.6153846153846154,1,1,1
499,3,0.125,0.5384615384615385,1,1,1
502,2,0.25,0.38461538461538464,1,1,3
503,2,0.25,0.38461538461538464,1,1,3
504,3,0.125,0.23076923076923078,1,1,1
505,3,0.0,0.0,1,1,1
506,2,0.125,0.07692307692307693,0,0,2
507,3,0.125,0.38461538461538464,1,1,1
508,2,0.0,0.0,0,0,2
509,3,0.125,0.38461538461538464,0,0,0
510,3,0.125,0.38461538461538464,0,0,0
512,3,0.0,0.23076923076923078,1,1,1
513,3,0.0,0.3076923076923077,0,0,0
514,3,0.125,0.3076923076923077,1,1,1
515,3,0.125,0.3076923076923077,1,1,1
516,3,0.125,0.3076923076923077,1,1,1
517,1,0.0,0.0,1,1,3
519,1,0.0,0.0,1,1,3
520,1,0.0,0.0,1,1,3
525,3,0.125,0.38461538461538464,0,0,0
526,3,0.125,0.4615384615384616,1,0,1
528,3,0.0,0.23076923076923078,0,0,0
529,3,0.125,0.3076923076923077,1,1,1
531,3,0.0,0.15384615384615385,0,0,0
532,3,0.125,0.38461538461538464,1,1,1
533,3,0.125,0.38461538461538464,0,0,0
